name,rating,reviews,type,url,image_url
Valley of the Dinosaurs,3.8,(179),3.8,https://www.tripadvisor.com/Attraction_Review-g2344212-d2342343-Reviews-Valley_of_the_Dinosaurs-Sousa_State_of_Paraiba.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/7b/c5/c1/passarela-sobre-o-rio.jpg?w=600&h=400&s=1
Estátua Frei Damião,4.5,(2),4.5,https://www.tripadvisor.com/Attraction_Review-g2344212-d14099378-Reviews-Estatua_Frei_Damiao-Sousa_State_of_Paraiba.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/11/6a/3b/20180517-091905-largejpg.jpg?w=600&h=400&s=1
Centro Cultural do Banco do Nordeste,4.7,(37),4.7,https://www.tripadvisor.com/Attraction_Review-g2344212-d4377591-Reviews-Centro_Cultural_do_Banco_do_Nordeste-Sousa_State_of_Paraiba.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/bc/a9/68/faixada.jpg?w=600&h=400&s=1
Sargento Edesio de Carvalho Museum,4.7,(3),4.7,https://www.tripadvisor.com/Attraction_Review-g2344212-d4377590-Reviews-Sargento_Edesio_de_Carvalho_Museum-Sousa_State_of_Paraiba.html,Image not found
